Tavarekere,12.963923,77.399314,2,0,6,0,2,0,0,10,3681,2,1,1,0,0,0,1,0,0,0,0,1
Thalaghattapura,12.868193,77.535384,9,0,34,0,120,6,6,175,1605,42,36,24,2,2,2,26,2,2,2,2,28
Thataguni,12.848758,77.521828,14,3,9,1,14,2,11,54,6047,12,10,7,1,1,1,8,1,1,1,1,8
Thattekuppe,12.772432,77.530751,102,0,23,4,94,2,19,244,5145,58,51,34,3,3,3,36,3,3,3,3,38
Thyagarajnagar,13.555277,76.010597,6,0,3,0,7,0,3,19,5770,4,3,2,0,0,0,2,0,0,0,0,2
Tilaknagar,17.134065,79.633623,50,86,72,4,57,5,514,788,1419,189,165,110,11,11,11,118,11,11,11,11,126
Tyagrajnagar,23.425022,72.649025,59,3,164,22,127,0,167,542,4096,129,113,75,8,8,8,81,8,8,8,8,86
Udaypura,23.591236,80.049017,32,1,44,8,74,1,44,204,1296,48,42,28,3,3,3,30,3,3,3,3,32
Ullalu Upanagar,16.203687,73.771543,15,0,10,0,25,1,2,53,4644,12,10,7,1,1,1,7,1,1,1,1,8
Wilson Garden,12.954177,77.591334,30,0,34,12,206,4,127,413,4254,99,86,57,6,6,6,61,6,6,6,6,66
Wipro Limited,17.4368,78.298874,18,5,62,10,47,0,86,228,1563,54,47,31,3,3,3,34,3,3,3,3,36
Yelachenahalli,12.897154,77.571007,83,23,95,8,123,0,257,589,6603,141,123,82,8,8,8,88,8,8,8,8,94
Achitnagar,13.089372,77.485731,29,10,222,73,1,0,58,393,5746,94,82,54,6,6,6,58,6,6,6,6,62
Bagalgunte,16.18604,75.703518,27,0,55,10,368,2,187,649,752,155,136,90,9,9,9,97,9,9,9,9,103
Bangalore City,12.974002,77.613458,9,0,13,4,53,0,39,118,4948,28,24,16,2,2,2,17,2,2,2,2,18
Bangalore Dist Offices Bldg,12.974002,77.613458,47,5,28,6,119,21,214,440,3494,105,92,61,6,6,6,66,6,6,6,6,70
Bapagrama,12.998144,77.457981,24,0,29,3,44,2,12,114,1079,27,23,15,2,2,2,17,2,2,2,2,18
Basaveshwaranagar,15.153972,76.943508,4,0,0,0,2,0,0,6,2834,1,1,0,0,0,0,0,0,0,0,0,0
Byatha,13.181231,77.489627,88,19,236,37,115,0,163,658,4199,157,138,92,9,9,9,98,9,9,9,9,105
Chandra Lay Out,13.072618,80.201275,172,1,373,14,400,80,285,1325,3261,318,277,185,19,19,19,198,19,19,19,19,212
Chikkabanavara,13.080229,77.50301,33,2,24,3,94,68,245,469,1914,112,98,65,7,7,7,70,7,7,7,7,74
Chikkabidarkal,13.052767,77.484992,1,8,24,13,17,0,28,91,4798,21,18,12,1,1,1,13,1,1,1,1,14
Gayathrinagar,14.418172,79.960819,59,4,49,5,20,0,17,154,756,36,31,21,2,2,2,23,2,2,2,2,24
Hampinagar,12.962606,77.540696,30,16,137,23,318,9,1201,1734,4329,415,363,242,25,25,25,260,25,25,25,25,277
Herohalli,12.985601,77.485269,21,0,136,41,0,0,38,236,5656,56,49,32,3,3,3,35,3,3,3,3,37
Hessarghatta Lake,29.09515,76.3563,45,0,85,18,123,0,78,349,3696,83,73,48,5,5,5,52,5,5,5,5,55
Hessarghatta,13.138468,77.47863,3,0,2,0,4,0,2,11,2866,2,1,1,0,0,0,1,0,0,0,0,1
Industrial Estate,29.315785,76.291884,7,0,2,0,49,0,21,79,3465,18,16,10,1,1,1,11,1,1,1,1,12
Jalahalli East,27.337503,88.614914,30,0,17,6,0,0,82,135,2579,32,28,18,2,2,2,20,2,2,2,2,21
Jalahalli,13.050571,77.542423,0,0,0,0,0,0,0,0,3834,0,0,0,0,0,0,0,0,0,0,0,0
Jalahalli West,28.628375,77.074996,1,0,6,0,4,2,2,15,5620,3,3,2,0,0,0,2,0,0,0,0,2
K H B Colony,17.866858,76.949326,0,0,0,0,0,0,0,0,3795,0,0,0,0,0,0,0,0,0,0,0,0
K. G. Road,12.923393,77.520166,0,0,0,0,0,0,0,0,4615,0,0,0,0,0,0,0,0,0,0,0,0
Kakolu,13.188544,77.508728,45,0,42,1,105,2,62,257,3760,61,53,35,4,4,4,38,4,4,4,4,40
Kamakshipalya,12.989145,77.52012,33,7,185,23,30,0,117,395,3366,94,82,55,6,6,6,59,6,6,6,6,63
Kodigehalli,13.056222,77.576593,14,0,63,26,6,0,82,191,5874,45,39,26,3,3,3,28,3,3,3,3,30
Kodigehalli,13.056222,77.576593,29,0,38,0,84,5,25,181,1524,43,37,25,3,3,3,27,3,3,3,3,28
Laggere,13.008538,77.521902,44,15,138,7,117,3,295,619,4983,148,129,86,9,9,9,92,9,9,9,9,98
Magadi Road,12.952677,77.228238,17,0,81,0,39,0,180,317,5287,75,66,44,5,5,5,47,5,5,5,5,50
Mahalakshmipuram Layout,13.005832,77.542339,5,0,2,1,3,0,8,19,3419,4,3,2,0,0,0,2,0,0,0,0,2
Malleswaram,16.354392,81.229283,55,75,172,21,247,0,707,1277,5054,306,267,178,18,18,18,191,18,18,18,18,204
Malleswaram West,28.628375,77.074996,8,0,48,0,17,2,131,206,2951,49,43,28,3,3,3,30,3,3,3,3,32
Mathikere,13.035619,77.557329,9,1,7,0,0,0,0,17,3582,3,3,2,0,0,0,2,0,0,0,0,2
Msrit,13.029893,77.564054,52,0,7,0,218,19,195,491,2911,117,102,68,7,7,7,73,7,7,7,7,78
Nagarbhavi,12.957137,77.515273,5,0,7,0,34,1,1,48,2995,11,9,6,1,1,1,7,1,1,1,1,7
Nagasandra,13.048234,77.497579,6,0,5,0,20,1,0,32,5238,7,6,4,1,1,1,4,1,1,1,1,4
